,0
user_id,1517923.1007505008
register_time,117.93928424913729
wood_add_value,10712783.55375371
wood_reduce_value,8986778.419146216
stone_add_value,7716307.268129057
stone_reduce_value,5864580.923212432
ivory_add_value,3527447.1431019087
ivory_reduce_value,1932100.6507155094
meat_add_value,13836692.302179107
meat_reduce_value,8657002.570887329
magic_add_value,1468633.0853543764
magic_reduce_value,1053265.6468061488
infantry_add_value,3926.537006201887
infantry_reduce_value,4120.623398248027
cavalry_add_value,3387.018412606482
cavalry_reduce_value,3537.39716209368
shaman_add_value,3481.7260310335673
shaman_reduce_value,3542.95161562779
wound_infantry_add_value,2452.476218055455
wound_infantry_reduce_value,2132.9201476869616
wound_cavalry_add_value,2206.78155843529
wound_cavalry_reduce_value,1904.7674654311156
wound_shaman_add_value,2455.811361278023
wound_shaman_reduce_value,2148.7463259248534
general_acceleration_add_value,7434.133063056541
general_acceleration_reduce_value,5677.801805062863
building_acceleration_add_value,4691.243200849442
building_acceleration_reduce_value,3841.5229855932816
reaserch_acceleration_add_value,4781.9055479138015
reaserch_acceleration_reduce_value,3351.8003088877626
training_acceleration_add_value,4185.596056854653
training_acceleration_reduce_value,2680.3990202466275
treatment_acceleraion_add_value,173.38791959265427
treatment_acceleration_reduce_value,16.775766789739134
bd_training_hut_level,5.7944931103549795
bd_healing_lodge_level,5.412509954390791
bd_stronghold_level,7.712106952387847
bd_outpost_portal_level,7.151379135596901
bd_barrack_level,6.509326962523227
bd_healing_spring_level,5.826853929872825
bd_dolmen_level,6.799150558652477
bd_guest_cavern_level,5.411617075701634
bd_warehouse_level,5.868577909698593
bd_watchtower_level,5.689205820603779
bd_magic_coin_tree_level,5.773329472236299
bd_hall_of_war_level,1.366176789980453
bd_market_level,5.363522285769444
bd_hero_gacha_level,3.0971789859793915
bd_hero_strengthen_level,2.7568956779845073
bd_hero_pve_level,4.543738989840488
sr_scout_level,1.8423707135789957
sr_training_speed_level,3.3230290306233257
sr_infantry_tier_2_level,0.5322522261637588
sr_cavalry_tier_2_level,0.5233475711286469
sr_shaman_tier_2_level,0.49516156277902457
sr_infantry_atk_level,0.9236950698617244
sr_cavalry_atk_level,0.8851323632327035
sr_shaman_atk_level,0.764448949057651
sr_infantry_tier_3_level,0.015178937715678468
sr_cavalry_tier_3_level,0.0144067183088395
sr_shaman_tier_3_level,0.012910543208088997
sr_troop_defense_level,0.03943145346171481
sr_infantry_def_level,0.024590361736528392
sr_cavalry_def_level,0.023769878616761986
sr_shaman_def_level,0.022273703516011486
sr_infantry_hp_level,0.034653345881898695
sr_cavalry_hp_level,0.03021308429257463
sr_shaman_hp_level,0.02763097565095683
sr_infantry_tier_4_level,0.0009652742585487101
sr_cavalry_tier_4_level,0.001085933540867299
sr_shaman_tier_4_level,0.0008204831197664036
sr_troop_attack_level,0.0011341972537947343
sr_construction_speed_level,1.9830835686189339
sr_hide_storage_level,0.6906778638480658
sr_troop_consumption_level,0.6762952773956901
sr_rss_a_prod_levell,0.7648350587610705
sr_rss_b_prod_level,0.1166292622891479
sr_rss_c_prod_level,0.03093703998648616
sr_rss_d_prod_level,0.7765631410024373
sr_rss_a_gather_level,0.5443181543956177
sr_rss_b_gather_level,0.08248268539298728
sr_rss_c_gather_level,0.02224957165954777
sr_rss_d_gather_level,0.42090784044016505
sr_troop_load_level,0.8462076787567268
sr_rss_e_gather_level,0.09278698810299477
sr_rss_e_prod_level,0.288303289172036
sr_outpost_durability_level,1.3291826540215739
sr_outpost_tier_2_level,0.573952074133063
sr_healing_space_level,0.782403050266657
sr_gathering_hunter_buff_level,0.8457974371968435
sr_healing_speed_level,0.6191993050025338
sr_outpost_tier_3_level,0.048191317358044355
sr_alliance_march_speed_level,0.022515022080648664
sr_pvp_march_speed_level,0.036680421824850984
sr_gathering_march_speed_level,0.03351914862810396
sr_outpost_tier_4_level,0.0003137141340283308
sr_guest_troop_capacity_level,0.00012065928231858877
sr_march_size_level,0.0007722194068389681
sr_rss_help_bonus_level,0.00033784599049204854
pvp_battle_count,25.193802939260117
pvp_lanch_count,17.254494558266366
pvp_win_count,18.292260913632084
pve_battle_count,40.949540288134365
pve_lanch_count,40.72870966963489
pve_win_count,37.39472477617703
avg_online_minutes,140.18774585133755
pay_price,29.52114334082626
pay_count,3.18622553633051
prediction_pay_price,94.52293988353983
