,0
user_id,1529757.8417639707
register_time,117.60420205397745
wood_add_value,265084.4469128021
wood_reduce_value,210899.84274546776
stone_add_value,50948.427250811015
stone_reduce_value,31970.650501565055
ivory_add_value,17180.400600827572
ivory_reduce_value,1159.6631826857679
meat_add_value,341091.33599250054
meat_reduce_value,201672.37525238498
magic_add_value,49690.50454159411
magic_reduce_value,28697.6376294864
infantry_add_value,73.83258018453036
infantry_reduce_value,154.95832843697588
cavalry_add_value,68.15461806631271
cavalry_reduce_value,116.03994760007265
shaman_add_value,57.52548376011765
shaman_reduce_value,94.39485740026565
wound_infantry_add_value,92.56216994099444
wound_infantry_reduce_value,54.338107281862825
wound_cavalry_add_value,77.94663727071693
wound_cavalry_reduce_value,50.76768252730387
wound_shaman_add_value,67.16915713212332
wound_shaman_reduce_value,46.6917493705955
general_acceleration_add_value,150.63024266347603
general_acceleration_reduce_value,90.84365886098261
building_acceleration_add_value,122.81686999903853
building_acceleration_reduce_value,74.55072581822584
reaserch_acceleration_add_value,46.91386728556625
reaserch_acceleration_reduce_value,13.185602216358463
training_acceleration_add_value,137.49164013731166
training_acceleration_reduce_value,16.779662578653305
treatment_acceleraion_add_value,7.410324993501198
treatment_acceleration_reduce_value,0.06732001880201267
bd_training_hut_level,1.2235240598103418
bd_healing_lodge_level,0.9458529632755385
bd_stronghold_level,1.994519195501761
bd_outpost_portal_level,1.6648243008891785
bd_barrack_level,1.1874419113955152
bd_healing_spring_level,0.8340326222041798
bd_dolmen_level,0.8619236097015537
bd_guest_cavern_level,0.3491592509107225
bd_warehouse_level,0.843325463551515
bd_watchtower_level,0.8244170663874852
bd_magic_coin_tree_level,1.0610838398837694
bd_hall_of_war_level,0.07911489881454735
bd_market_level,0.6876537901367775
bd_hero_gacha_level,0.14776227561329103
bd_hero_strengthen_level,0.1322194565221262
bd_hero_pve_level,0.21352658811128797
sr_scout_level,0.30322340565698436
sr_training_speed_level,0.24344511272305133
sr_infantry_tier_2_level,0.014507016925372391
sr_cavalry_tier_2_level,0.013716922879699167
sr_shaman_tier_2_level,0.010921102766530993
sr_infantry_atk_level,0.007293792130930379
sr_cavalry_atk_level,0.006576698323843303
sr_shaman_atk_level,0.004753472852813714
sr_infantry_tier_3_level,0.0
sr_cavalry_tier_3_level,0.0
sr_shaman_tier_3_level,0.0
sr_troop_defense_level,0.0
sr_infantry_def_level,0.0
sr_cavalry_def_level,0.0
sr_shaman_def_level,0.0
sr_infantry_hp_level,0.0
sr_cavalry_hp_level,0.0
sr_shaman_hp_level,0.0
sr_infantry_tier_4_level,0.0
sr_cavalry_tier_4_level,0.0
sr_shaman_tier_4_level,0.0
sr_troop_attack_level,0.0
sr_construction_speed_level,0.08782507362341135
sr_hide_storage_level,0.022649214268163707
sr_troop_consumption_level,0.020742305596803658
sr_rss_a_prod_levell,0.02200155971241467
sr_rss_b_prod_level,0.0004250928527424943
sr_rss_c_prod_level,1.7359812834510238e-05
sr_rss_d_prod_level,0.0289432592291887
sr_rss_a_gather_level,0.01189681327251167
sr_rss_b_gather_level,0.00021009824763817522
sr_rss_c_gather_level,1.3353702180392493e-05
sr_rss_d_gather_level,0.010505802628720787
sr_troop_load_level,0.013767221824578646
sr_rss_e_gather_level,0.0002497142307733396
sr_rss_e_prod_level,0.0025901730995901303
sr_outpost_durability_level,0.08794214107919279
sr_outpost_tier_2_level,0.03458564352381054
sr_healing_space_level,0.014794566645656843
sr_gathering_hunter_buff_level,0.018963592466375377
sr_healing_speed_level,0.011048408060650735
sr_outpost_tier_3_level,6.231727684183163e-06
sr_alliance_march_speed_level,0.0
sr_pvp_march_speed_level,0.0
sr_gathering_march_speed_level,0.0
sr_outpost_tier_4_level,0.0
sr_guest_troop_capacity_level,0.0
sr_march_size_level,0.0
sr_rss_help_bonus_level,0.0
pvp_battle_count,1.723228497868749
pvp_lanch_count,0.7609175417792828
pvp_win_count,0.6645972879521118
pve_battle_count,2.141877299062392
pve_lanch_count,2.1333936920671888
pve_win_count,1.9141463779418206
avg_online_minutes,7.8099428644284
pay_price,0.0
pay_count,0.0
prediction_pay_price,0.08270125829864582
